drugbank_id,uniprot_id
DB00006,P09525
DB00006,P04004
DB00006,P02533
DB00006,P02818
DB00006,P05155
DB00006,P05543
DB00006,P25311
DB00006,P46939
DB00006,P61769
DB00006,Q06323
DB00006,O15304
DB00006,P02748
DB00006,Q15185
DB00006,P04217
DB00006,P01308
DB00006,P02751
DB00006,P29372
DB00006,P07900
DB00007,P35858
DB00007,P00367
DB00014,P13500
DB00050,P10275
DB00050,P06401
DB00091,P12814
DB00091,P25311
DB00091,P05546
DB00091,P02747
DB00091,P00387
DB00091,P00739
DB00091,Q06323
DB00114,Q07075
DB00114,P42263
DB00114,O15374
DB00114,O15403
DB00114,O95363
DB00114,P11021
DB00114,P12814
DB00114,P13631
DB00114,P42261
DB00114,P48723
DB00114,Q06830
DB00114,Q14831
DB00114,Q9HA77
DB00114,Q9Y285
DB00114,P35858
DB00114,P04264
DB00114,Q9Y646
DB00114,P02647
DB00114,O15427
DB00114,P14618
DB00114,P18669
DB00115,P50579
DB00118,O75311
DB00118,Q14032
DB00119,P49821
DB00119,Q9Y697
DB00119,O00763
DB00119,P00326
DB00119,P02656
DB00119,P03897
DB00119,P04181
DB00119,P07237
DB00119,P08243
DB00119,P09601
DB00119,P11142
DB00119,P19113
DB00119,P23526
DB00119,P41250
DB00119,Q13085
DB00119,Q14833
DB00119,Q16853
DB00119,Q6YP21
DB00119,Q96RQ3
DB00119,Q9NUV7
DB00119,Q9NVS9
DB00119,P05452
DB00119,P00390
DB00119,P30519
DB00119,Q13224
DB00119,Q05586
DB00119,Q8N159
DB00119,P17568
DB00119,Q9Y646
DB00119,P31942
DB00120,Q8N159
DB00120,Q9NVS9
DB00120,O15270
DB00120,O94925
DB00120,O95470
DB00120,P20132
DB00120,P43005
DB00120,Q05940
DB00120,Q13003
DB00120,Q6YP21
DB00120,Q96EN8
DB00120,Q96I15
DB00120,Q9Y600
DB00120,Q9Y697
DB00120,Q16099
DB00120,P34896
DB00120,P39086
DB00120,Q05329
DB00120,Q99259
DB00121,Q9BY49
DB00121,O60669
DB00121,O15427
DB00121,P53985
DB00121,P78362
DB00121,Q13126
DB00122,P39086
DB00122,Q14542
DB00122,P42263
DB00126,Q16595
DB00126,P21917
DB00130,P06239
DB00130,P07948
DB00130,P09769
DB00130,P10721
DB00130,P51692
DB00130,P54760
DB00130,Q13003
DB00130,P07101
DB00132,Q7Z2Z2
DB00132,Q9UN88
DB00132,O15111
DB00132,P00414
DB00132,P09669
DB00132,P13945
DB00132,P24310
DB00132,P24557
DB00132,P30556
DB00132,P49788
DB00132,P52895
DB00132,Q8NFJ5
DB00132,Q99250
DB00132,Q9NPD5
DB00132,Q9NPH2
DB00132,Q9NZK7
DB00132,Q12879
DB00132,O43617
DB00132,P07359
DB00132,P14555
DB00132,P00326
DB00132,Q7Z2W7
DB00134,Q9UPY5
DB00134,Q8IVH4
DB00134,O60494
DB00136,P35398
DB00136,Q9ULY5
DB00138,O15382
DB00138,P24557
DB00138,O00222
DB00138,O14920
DB00138,P00505
DB00138,P38435
DB00138,P39086
DB00138,P80404
DB00138,Q16478
DB00138,Q99259
DB00138,Q99707
DB00138,Q9UI32
DB00138,Q9UBK8
DB00138,Q8N5Z0
DB00139,O43677
DB00139,P37058
DB00139,P15428
DB00139,P19404
DB00139,P32322
DB00139,Q16798
DB00139,P14061
DB00139,Q15800
DB00139,P26439
DB00139,P49419
DB00139,P11177
DB00139,O43674
DB00139,P30043
DB00140,O43674
DB00140,O75438
DB00140,O96000
DB00140,P03901
DB00140,P26439
DB00140,P28331
DB00140,P56556
DB00140,Q13630
DB00140,O75380
DB00140,P56181
DB00140,P40939
DB00140,P17568
DB00140,Q16795
DB00140,P09622
DB00140,P04035
DB00140,P49419
DB00142,Q15858
DB00142,Q15822
DB00142,O00483
DB00142,O14732
DB00142,O15374
DB00142,O60669
DB00142,O60931
DB00142,O95363
DB00142,P00918
DB00142,P09601
DB00142,P13498
DB00142,P14598
DB00142,P14618
DB00142,P19793
DB00142,P23634
DB00142,P26439
DB00142,P29218
DB00142,P30926
DB00142,P47898
DB00142,P53985
DB00142,Q12791
DB00142,Q14330
DB00142,Q16853
DB00142,Q7Z3S7
DB00142,Q9HA77
DB00142,Q9Y5N1
DB00142,O95237
DB00142,P30405
DB00142,P42898
DB00142,Q9UBK8
DB00142,P02766
DB00142,P11021
DB00142,P02652
DB00142,P20309
DB00142,O00305
DB00142,P30043
DB00142,P15880
DB00142,P23368
DB00142,Q13936
DB00142,Q9UK17
DB00142,O00217
DB00142,Q04828
DB00142,P07451
DB00142,P47869
DB00142,O95907
DB00142,P15428
DB00143,O95139
DB00143,Q02083
DB00143,O14618
DB00143,O95479
DB00143,P07741
DB00143,P08172
DB00143,P13647
DB00143,P14555
DB00143,P23526
DB00143,P28702
DB00143,P40926
DB00143,P49589
DB00143,Q15118
DB00143,Q96RQ9
DB00143,Q9GZU7
DB00143,Q9UHF0
DB00143,Q9UJU2
DB00143,O43676
DB00143,Q14330
DB00143,P14679
DB00143,P04003
DB00143,P45381
DB00143,P11586
DB00143,P08173
DB00143,P51553
DB00143,P00739
DB00143,Q06830
DB00143,O75380
DB00143,Q8NFJ5
DB00145,Q02641
DB00145,P18669
DB00145,O14791
DB00145,O75899
DB00145,O94903
DB00145,O95264
DB00145,P01023
DB00145,P01584
DB00145,P02671
DB00145,P07900
DB00145,P10909
DB00145,P11498
DB00145,P18505
DB00145,P21964
DB00145,P25021
DB00145,P25713
DB00145,P30711
DB00145,P31153
DB00145,P32119
DB00145,P36021
DB00145,P41594
DB00145,P43681
DB00145,P69905
DB00145,Q13255
DB00145,Q15185
DB00145,Q15822
DB00145,Q16773
DB00145,Q8N1G2
DB00145,Q96GD0
DB00145,Q9HBK9
DB00145,Q9UBS5
DB00145,P35908
DB00145,O14618
DB00145,P22792
DB00145,Q16878
DB00145,P11021
DB00145,P10412
DB00145,Q9NZV8
DB00145,P61769
DB00145,P31645
DB00145,P36955
DB00145,Q9UIX4
DB00145,Q9Y646
DB00145,P00450
DB00145,Q8TAE7
DB00145,P35367
DB00145,Q8WXA8
DB00145,Q15825
DB00145,Q00987
DB00146,P35398
DB00146,Q9ULY5
DB00148,P78352
DB00148,P05091
DB00151,Q9UHF0
DB00151,P30043
DB00151,P07237
DB00151,P08684
DB00151,P08865
DB00151,P10276
DB00151,P10515
DB00151,P11216
DB00151,P20839
DB00151,P23378
DB00151,P62937
DB00151,Q04609
DB00151,Q96A70
DB00151,Q99735
DB00151,Q9NUV7
DB00151,Q9NVS9
DB00151,P37840
DB00151,P56524
DB00151,P22557
DB00151,P10826
DB00151,Q14957
DB00151,O95298
